Method,Mean,WCIC
Magma,4.9 (6.6),94.3 (14.2)
MagmaClust - K = 2,4.5 (6.2),94.3 (14.1)
MagmaClust - K = 3,4.3 (6),94.4 (14.1)
MagmaClust - K = 4,4.2 (5.9),94.4 (14.1)
MagmaClust - K = 5,4.2 (5.9),94.4 (14.1)
MagmaClust - K = 6,4.1 (5.7),94.3 (14.1)
