"RI","Method"
NA,"funHDDC"
0.68379008099412,"MAGMAclust"
0.821182080562178,"kmeans"
1,"funHDDC"
0.866658160010208,"MAGMAclust"
0.0341699425461143,"kmeans"
0.460291158717008,"funHDDC"
0.0281923714759536,"MAGMAclust"
0.523251923720308,"kmeans"
0.0496480177843646,"funHDDC"
0.209084202761092,"MAGMAclust"
0.754172596713676,"kmeans"
0.597895755230379,"funHDDC"
0.763003617313209,"MAGMAclust"
0.535073409461664,"kmeans"
0.296649516877902,"funHDDC"
0.362900164494496,"MAGMAclust"
0.686269528769211,"kmeans"
0.0829416994792328,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.827920817699573,"funHDDC"
1,"MAGMAclust"
0.393194939196659,"kmeans"
0.449075752084088,"funHDDC"
0.511053924435606,"MAGMAclust"
0.827920817699573,"kmeans"
0.43026668367998,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
NA,"funHDDC"
1,"MAGMAclust"
0.572767020612117,"kmeans"
0.41843328420814,"funHDDC"
0.48531801928703,"MAGMAclust"
0.234338747099768,"kmeans"
0.0264650283553875,"funHDDC"
0.303944315545244,"MAGMAclust"
0.667541557305337,"kmeans"
0.227740378508828,"funHDDC"
0.680326883788006,"MAGMAclust"
0.169677193800256,"kmeans"
NA,"funHDDC"
0.207123545315622,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.404388714733542,"kmeans"
0.400669499163126,"funHDDC"
0.479356960175374,"MAGMAclust"
1,"kmeans"
0.435829759155394,"funHDDC"
0.67596540382507,"MAGMAclust"
0.833853841349157,"kmeans"
0.572767020612117,"funHDDC"
0.596745666784577,"MAGMAclust"
1,"kmeans"
0.425403225806452,"funHDDC"
0.664818548387097,"MAGMAclust"
1,"kmeans"
0.50314988707952,"funHDDC"
1,"MAGMAclust"
0.866658160010208,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.474520418971402,"kmeans"
1,"funHDDC"
0.513727315030247,"MAGMAclust"
1,"kmeans"
0.840993948757564,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.417641048927233,"funHDDC"
1,"MAGMAclust"
0.544419134396355,"kmeans"
0.544419134396355,"funHDDC"
0.542483660130719,"MAGMAclust"
