"RI","Method","K"
1,"MAGMAclust",3
1,"MAGMAclust",3
0.0663013585752984,"MAGMAclust",3
0.770493695227618,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
0.905138881442961,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
0.936480291351864,"MAGMAclust",3
0.580639446017651,"MAGMAclust",3
0.836668646440649,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.511844144343591,"MAGMAclust",4
0.586980037368473,"MAGMAclust",4
0.722317607162175,"MAGMAclust",4
1,"MAGMAclust",4
0.912594306143372,"MAGMAclust",4
1,"MAGMAclust",4
0.946850991552401,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.932543751683616,"MAGMAclust",4
0.815585081767038,"MAGMAclust",4
0.784095936579418,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.932492328136883,"MAGMAclust",4
0.75828729281768,"MAGMAclust",4
0.905934802542132,"MAGMAclust",4
1,"MAGMAclust",4
0.649714052287582,"MAGMAclust",4
0.708312686226181,"MAGMAclust",4
0.816644214937884,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.841341795104261,"MAGMAclust",4
0.71732557086133,"MAGMAclust",4
1,"MAGMAclust",4
0.909717555762686,"MAGMAclust",4
0.926182585115999,"MAGMAclust",4
0.860347354217147,"MAGMAclust",4
0.359967273869663,"MAGMAclust",4
0.644096062104511,"MAGMAclust",4
0.491029530083834,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.784769026418065,"MAGMAclust",4
1,"MAGMAclust",4
0.938336856941508,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.493054339185384,"MAGMAclust",4
0.498816734186354,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.956911207775915,"MAGMAclust",4
0.961382049746225,"MAGMAclust",4
0.860347354217147,"MAGMAclust",4
0.953022386271032,"MAGMAclust",4
1,"MAGMAclust",4
0.913369580138858,"MAGMAclust",4
