"RI","Method","K"
0.39110370465325,"MAGMAclust",3
0.813230021972939,"MAGMAclust",3
0.22084868655652,"MAGMAclust",3
0.535590795278407,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
0.382094120647877,"MAGMAclust",3
1,"MAGMAclust",3
1,"MAGMAclust",3
0.104773713577185,"MAGMAclust",3
0.266734151588005,"MAGMAclust",3
1,"MAGMAclust",3
0.535679374389052,"MAGMAclust",3
0.56778889899909,"MAGMAclust",3
0.344334295394654,"MAGMAclust",3
0.833853841349157,"MAGMAclust",3
0.580933709104276,"MAGMAclust",3
0.710255432710637,"MAGMAclust",3
0.699110732123279,"MAGMAclust",3
1,"MAGMAclust",3
0.212124751781334,"MAGMAclust",3
1,"MAGMAclust",4
0.295302013422819,"MAGMAclust",4
0.336078871833271,"MAGMAclust",4
0.654702407996365,"MAGMAclust",4
0.642665233745298,"MAGMAclust",4
0.83292296869504,"MAGMAclust",4
0.665099882491187,"MAGMAclust",4
1,"MAGMAclust",4
0.511957484499557,"MAGMAclust",4
0.111995845594599,"MAGMAclust",4
1,"MAGMAclust",4
0.357607282184655,"MAGMAclust",4
1,"MAGMAclust",4
0.583648178933051,"MAGMAclust",4
0.903357070193286,"MAGMAclust",4
0.589041095890411,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.41358024691358,"MAGMAclust",4
0.200302180012951,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.243755146856986,"MAGMAclust",4
0.694386359980698,"MAGMAclust",4
0.709105560032232,"MAGMAclust",4
1,"MAGMAclust",4
0.723082528693751,"MAGMAclust",4
0.228051580992757,"MAGMAclust",4
1,"MAGMAclust",4
0.340405014464802,"MAGMAclust",4
1,"MAGMAclust",4
0.464285714285714,"MAGMAclust",4
0.728442115292997,"MAGMAclust",4
0.649122807017544,"MAGMAclust",4
0.449186664519246,"MAGMAclust",4
0.856582125603865,"MAGMAclust",4
0.421274601686973,"MAGMAclust",4
0.480453716832084,"MAGMAclust",4
0.635036496350365,"MAGMAclust",4
1,"MAGMAclust",4
0.893956306809121,"MAGMAclust",4
0.679742568188783,"MAGMAclust",4
1,"MAGMAclust",4
0.583880858519492,"MAGMAclust",4
0.844517184942717,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.5416164053076,"MAGMAclust",4
1,"MAGMAclust",4
0.200764818355641,"MAGMAclust",4
0.72034632034632,"MAGMAclust",4
0.786816269284712,"MAGMAclust",4
0.532531437944232,"MAGMAclust",4
0.248964738361149,"MAGMAclust",4
0.852323954609047,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.497716894977169,"MAGMAclust",4
0.895460797799175,"MAGMAclust",4
0.94769442532691,"MAGMAclust",4
1,"MAGMAclust",4
0.435897435897436,"MAGMAclust",4
0.235314266141463,"MAGMAclust",4
0.71042471042471,"MAGMAclust",4
0.822429906542056,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.658682634730539,"MAGMAclust",4
0.77725674091442,"MAGMAclust",4
1,"MAGMAclust",4
0.320534537925842,"MAGMAclust",4
1,"MAGMAclust",4
0.257031132501128,"MAGMAclust",4
1,"MAGMAclust",4
0.67502850627138,"MAGMAclust",4
0.81247532570075,"MAGMAclust",4
0.520288548241659,"MAGMAclust",4
0.802248126561199,"MAGMAclust",4
0.296472950922556,"MAGMAclust",4
0.452010895689793,"MAGMAclust",4
1,"MAGMAclust",4
1,"MAGMAclust",4
0.890173410404624,"MAGMAclust",4
0.682008368200837,"MAGMAclust",4
0.608938547486034,"MAGMAclust",4
0.797153024911032,"MAGMAclust",4
0.820670127418594,"MAGMAclust",4
0.261614555732203,"MAGMAclust",4
0.511076303423585,"MAGMAclust",4
0.647331786542923,"MAGMAclust",4
0.472677932650796,"MAGMAclust",4
0.365821094793057,"MAGMAclust",4
0.307304785894207,"MAGMAclust",4
0.866291344123856,"MAGMAclust",4
0.629990262901655,"MAGMAclust",4
0.537431527693244,"MAGMAclust",4
0.682375417927082,"MAGMAclust",4
0.674880219028063,"MAGMAclust",4
0.412946083732427,"MAGMAclust",4
0.874172185430464,"MAGMAclust",5
0.463900414937759,"MAGMAclust",5
0.71976401179941,"MAGMAclust",5
0.692307692307692,"MAGMAclust",5
0.844460614880844,"MAGMAclust",5
1,"MAGMAclust",5
0.399026763990268,"MAGMAclust",5
0.752066115702479,"MAGMAclust",5
0.567151225862443,"MAGMAclust",5
0.208745445080687,"MAGMAclust",5
1,"MAGMAclust",5
0.447852760736196,"MAGMAclust",5
0.895104895104895,"MAGMAclust",5
0.646840148698885,"MAGMAclust",5
0.890173410404624,"MAGMAclust",5
0.54019014693172,"MAGMAclust",5
0.876325088339223,"MAGMAclust",5
1,"MAGMAclust",5
0.526690391459075,"MAGMAclust",5
0.193205944798301,"MAGMAclust",5
0.964879852125693,"MAGMAclust",5
1,"MAGMAclust",5
0.497797356828194,"MAGMAclust",5
0.652188384090531,"MAGMAclust",5
0.649554257608361,"MAGMAclust",5
1,"MAGMAclust",5
1,"MAGMAclust",5
0.372246696035242,"MAGMAclust",5
0.850581944007549,"MAGMAclust",5
0.340405014464802,"MAGMAclust",5
0.940883634100809,"MAGMAclust",5
0.659253945480631,"MAGMAclust",5
0.874172185430464,"MAGMAclust",5
0.351535836177474,"MAGMAclust",5
0.449186664519246,"MAGMAclust",5
0.690822304187459,"MAGMAclust",5
0.508741689239104,"MAGMAclust",5
0.648798521256932,"MAGMAclust",5
0.685714285714286,"MAGMAclust",5
0.863645683822022,"MAGMAclust",5
0.784921892687344,"MAGMAclust",5
0.796573875802998,"MAGMAclust",5
0.513928368391131,"MAGMAclust",5
0.846029173419773,"MAGMAclust",5
0.716659565402642,"MAGMAclust",5
1,"MAGMAclust",5
0.595744680851064,"MAGMAclust",5
0.901170351105332,"MAGMAclust",5
0.866259971844205,"MAGMAclust",5
0.340036563071298,"MAGMAclust",5
0.480975609756098,"MAGMAclust",5
0.786816269284712,"MAGMAclust",5
0.623015873015873,"MAGMAclust",5
0.231572080887149,"MAGMAclust",5
0.571626777662158,"MAGMAclust",5
0.744692287019618,"MAGMAclust",5
1,"MAGMAclust",5
0.495064540622627,"MAGMAclust",5
0.836488812392427,"MAGMAclust",5
0.87741935483871,"MAGMAclust",5
0.930848740719173,"MAGMAclust",5
0.463276836158192,"MAGMAclust",5
0.241079353807918,"MAGMAclust",5
0.753766402073546,"MAGMAclust",5
0.693548387096774,"MAGMAclust",5
0.789356984478936,"MAGMAclust",5
0.764267990074442,"MAGMAclust",5
0.87741935483871,"MAGMAclust",5
0.655797101449275,"MAGMAclust",5
0.816753926701571,"MAGMAclust",5
1,"MAGMAclust",5
0.393358876117497,"MAGMAclust",5
0.795698924731183,"MAGMAclust",5
0.650092081031307,"MAGMAclust",5
0.797153024911032,"MAGMAclust",5
0.775236593059937,"MAGMAclust",5
0.73947110675808,"MAGMAclust",5
0.473996440577417,"MAGMAclust",5
1,"MAGMAclust",5
0.329974811083123,"MAGMAclust",5
0.476481007675654,"MAGMAclust",5
1,"MAGMAclust",5
0.74298275278999,"MAGMAclust",5
0.807399898631526,"MAGMAclust",5
1,"MAGMAclust",5
0.346972176759411,"MAGMAclust",5
1,"MAGMAclust",5
0.750656167979003,"MAGMAclust",5
0.321525496357663,"MAGMAclust",5
0.247380526450294,"MAGMAclust",5
0.581497797356828,"MAGMAclust",5
0.610427650849444,"MAGMAclust",5
0.567198177676538,"MAGMAclust",5
0.376318874560375,"MAGMAclust",5
0.899725564703399,"MAGMAclust",5
0.505723204994797,"MAGMAclust",5
0.577871584092424,"MAGMAclust",5
0.53685116145684,"MAGMAclust",5
0.674880219028063,"MAGMAclust",5
0.347975291695264,"MAGMAclust",5
1,"MAGMAclust",6
0.739010989010989,"MAGMAclust",6
0.66824644549763,"MAGMAclust",6
0.225806451612903,"MAGMAclust",6
