"RI","Method"
0.670506627028366,"kmeans"
0.0355506007679921,"funHDDC"
0.880307420939902,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.39110370465325,"kmeans"
0.0859900927219612,"funHDDC"
0.39110370465325,"MAGMAclust"
1,"kmeans"
0.645852749301025,"funHDDC"
0.813230021972939,"MAGMAclust"
0.321513594787621,"kmeans"
0.222020018198362,"funHDDC"
0.22084868655652,"MAGMAclust"
0.678627522049052,"kmeans"
0.724537876042044,"funHDDC"
0.535590795278407,"MAGMAclust"
1,"kmeans"
0.411764705882353,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.705159705159705,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.478204978380273,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.449414136323548,"kmeans"
0.32972155726345,"funHDDC"
0.382094120647877,"MAGMAclust"
1,"kmeans"
0.666580007799298,"funHDDC"
1,"MAGMAclust"
1,"kmeans"
0.478204978380273,"funHDDC"
1,"MAGMAclust"
0.354699271335062,"kmeans"
0.0409806513640187,"funHDDC"
0.104773713577185,"MAGMAclust"
0.393194939196659,"kmeans"
0.107119866100167,"funHDDC"
0.266734151588005,"MAGMAclust"
1,"kmeans"
1,"funHDDC"
1,"MAGMAclust"
0.522132796780684,"kmeans"
0.420947879089439,"funHDDC"
0.535679374389052,"MAGMAclust"
0.553291536050157,"kmeans"
0.56778889899909,"funHDDC"
0.56778889899909,"MAGMAclust"
0.434804164600892,"kmeans"
0.664818548387097,"funHDDC"
0.344334295394654,"MAGMAclust"
1,"kmeans"
0.396456933414783,"funHDDC"
0.833853841349157,"MAGMAclust"
0.82950903730291,"kmeans"
0.381886871654948,"funHDDC"
0.580933709104276,"MAGMAclust"
0.710255432710637,"kmeans"
0.717577108881457,"funHDDC"
0.710255432710637,"MAGMAclust"
0.699110732123279,"kmeans"
0.833853841349157,"funHDDC"
0.699110732123279,"MAGMAclust"
1,"kmeans"
0.505264349598098,"funHDDC"
1,"MAGMAclust"
0.230413146626548,"kmeans"
0.206190420148288,"funHDDC"
0.212124751781334,"MAGMAclust"
