"RI","Method"
1,"MAGMAclust"
0.842486576442229,"kmeans + Bsplines"
0.429393899871439,"funHDDC"
1,"MAGMAclust"
0.90053050397878,"kmeans + Bsplines"
0.948423224285293,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.443786130368336,"funHDDC"
1,"MAGMAclust"
0.507901692818177,"kmeans + Bsplines"
0.200208024710814,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.850891047151339,"funHDDC"
1,"MAGMAclust"
0.825672939941516,"kmeans + Bsplines"
0.826140104293046,"funHDDC"
1,"MAGMAclust"
0.0399912095081056,"kmeans + Bsplines"
0.0399912095081056,"funHDDC"
0.928026780199734,"MAGMAclust"
0.885083080242498,"kmeans + Bsplines"
0.550183794463821,"funHDDC"
0.941159689037872,"MAGMAclust"
0.824529991047449,"kmeans + Bsplines"
0.824529991047449,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
0.940296325177893,"MAGMAclust"
0.546418473138549,"kmeans + Bsplines"
0.461067478178472,"funHDDC"
0.879770158016364,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.751619097599084,"kmeans + Bsplines"
0.807182336178065,"funHDDC"
0.932054727986556,"MAGMAclust"
1,"kmeans + Bsplines"
0.57885569074829,"funHDDC"
0.93848806166258,"MAGMAclust"
1,"kmeans + Bsplines"
0.569782498545611,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.942426093904216,"kmeans + Bsplines"
0.888921129468091,"funHDDC"
0.824064820743596,"MAGMAclust"
1,"kmeans + Bsplines"
0.438851673609726,"funHDDC"
1,"MAGMAclust"
0.942123543944195,"kmeans + Bsplines"
0.942123543944195,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.509963997354908,"funHDDC"
1,"MAGMAclust"
0.935808084513242,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.827054360416132,"kmeans + Bsplines"
0.817071239269763,"funHDDC"
0.881364549790572,"MAGMAclust"
0.791309215249638,"kmeans + Bsplines"
0.512722845674474,"funHDDC"
0.597020536679355,"MAGMAclust"
0.952290007515316,"kmeans + Bsplines"
0.648396000168677,"funHDDC"
0.952290007515316,"MAGMAclust"
0.83141016034767,"kmeans + Bsplines"
0.513091706436218,"funHDDC"
0.618050643655397,"MAGMAclust"
1,"kmeans + Bsplines"
0.53296718476321,"funHDDC"
1,"MAGMAclust"
0.40087783467447,"kmeans + Bsplines"
0.332601804437942,"funHDDC"
0.367241852431761,"MAGMAclust"
1,"kmeans + Bsplines"
0.591007151132596,"funHDDC"
0.787086975471885,"MAGMAclust"
0.821923970908,"kmeans + Bsplines"
0.408171716474567,"funHDDC"
1,"MAGMAclust"
