"RI","Method"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.356027313907106,"kmeans + Bsplines"
0.0438828883907343,"funHDDC"
0.955864698820705,"MAGMAclust"
0.430578763481695,"kmeans + Bsplines"
0.454269899458128,"funHDDC"
0.485101970273073,"MAGMAclust"
0.565412857785104,"kmeans + Bsplines"
0.591853733705385,"funHDDC"
0.487943978221184,"MAGMAclust"
0.948676358804623,"kmeans + Bsplines"
0.460480401124776,"funHDDC"
1,"MAGMAclust"
0.817139588743277,"kmeans + Bsplines"
0.408247970333226,"funHDDC"
1,"MAGMAclust"
0.409930034561241,"kmeans + Bsplines"
0.426346693898392,"funHDDC"
0.729633047499559,"MAGMAclust"
0.56670608577375,"kmeans + Bsplines"
0.387833741243479,"funHDDC"
0.768762165941555,"MAGMAclust"
1,"kmeans + Bsplines"
0.46703108290718,"funHDDC"
1,"MAGMAclust"
0.441031181554839,"kmeans + Bsplines"
0.387355712239532,"funHDDC"
0.559197731303387,"MAGMAclust"
0.890298351525731,"kmeans + Bsplines"
0.647310106747153,"funHDDC"
0.960087714949081,"MAGMAclust"
1,"kmeans + Bsplines"
0.48143434323807,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.455922923837751,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.897226616808093,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.108794684596869,"kmeans + Bsplines"
0.0543718961224794,"funHDDC"
0.0663013585752984,"MAGMAclust"
0.770493695227618,"kmeans + Bsplines"
0.445618258063703,"funHDDC"
0.770493695227618,"MAGMAclust"
0.93814201094699,"kmeans + Bsplines"
0.93814201094699,"funHDDC"
1,"MAGMAclust"
0.822162896494604,"kmeans + Bsplines"
0.936395511493095,"funHDDC"
1,"MAGMAclust"
0.88417276939172,"kmeans + Bsplines"
0.0344234079173838,"funHDDC"
1,"MAGMAclust"
0.673180333311595,"kmeans + Bsplines"
0.607287703449866,"funHDDC"
0.905138881442961,"MAGMAclust"
0.655606609854091,"kmeans + Bsplines"
0.745827710896819,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.342692386901902,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.275119048848764,"kmeans + Bsplines"
0.014110258343749,"funHDDC"
1,"MAGMAclust"
0.821127081907369,"kmeans + Bsplines"
0.876532463486595,"funHDDC"
0.936480291351864,"MAGMAclust"
0.504935992103614,"kmeans + Bsplines"
0.366329814292982,"funHDDC"
0.580639446017651,"MAGMAclust"
0.706226593525598,"kmeans + Bsplines"
0.633836496786728,"funHDDC"
0.836668646440649,"MAGMAclust"
1,"kmeans + Bsplines"
0.409614594377958,"funHDDC"
1,"MAGMAclust"
