"RI","Method"
1,"funHDDC"
1,"MAGMAclust"
0.555412102786223,"kmeans + Bsplines"
0.598111628802928,"funHDDC"
0.715092494304832,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.453068318623582,"funHDDC"
1,"MAGMAclust"
0.845080982448533,"kmeans + Bsplines"
0.846828501509387,"funHDDC"
0.944671779445905,"MAGMAclust"
0.873460409666227,"kmeans + Bsplines"
0.412635111969251,"funHDDC"
1,"MAGMAclust"
0.879951980792317,"kmeans + Bsplines"
0.883703481392557,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.387584247669633,"kmeans + Bsplines"
0.184138988577872,"funHDDC"
1,"MAGMAclust"
0.932054727986556,"kmeans + Bsplines"
0.404329864859277,"funHDDC"
1,"MAGMAclust"
0.763824054043797,"kmeans + Bsplines"
0.712880928942661,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.93368780035968,"kmeans + Bsplines"
0.756855267985493,"funHDDC"
1,"MAGMAclust"
0.83163517748172,"kmeans + Bsplines"
0.697750146213081,"funHDDC"
0.738099164971565,"MAGMAclust"
1,"kmeans + Bsplines"
0.946208880645039,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.476076424799956,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.404162809842749,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.372765974047506,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.463392672450507,"kmeans + Bsplines"
0.509359471485852,"funHDDC"
1,"MAGMAclust"
0.938632192405724,"kmeans + Bsplines"
0.938632192405724,"funHDDC"
0.938632192405724,"MAGMAclust"
0.871376028991768,"kmeans + Bsplines"
0.813263869585101,"funHDDC"
1,"MAGMAclust"
0.928852905560218,"kmeans + Bsplines"
0.928852905560218,"funHDDC"
1,"MAGMAclust"
0.198149648041824,"kmeans + Bsplines"
0.149471952171842,"funHDDC"
0.830536585801219,"MAGMAclust"
0.352713298097034,"kmeans + Bsplines"
0.327430536400581,"funHDDC"
0.862753378378379,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.953803354587175,"kmeans + Bsplines"
0.0724625027374183,"funHDDC"
1,"MAGMAclust"
0.640821711961004,"kmeans + Bsplines"
0.56872705326158,"funHDDC"
0.583375403206521,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"MAGMAclust"
0.7417155708613,"kmeans + Bsplines"
0.834877185150614,"funHDDC"
1,"MAGMAclust"
