"RI","Method"
0.513615816051928,"kmeans + Bsplines"
0.596481269613451,"funHDDC"
0.432461983226025,"funFEM"
0.805446326420771,"MAGMAclust"
0.525471124252118,"kmeans + Bsplines"
0.494756068819232,"funHDDC"
0.941203292615614,"funFEM"
1,"MAGMAclust"
0.940296325177893,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.768339886106798,"kmeans + Bsplines"
0.466391904570433,"funHDDC"
0.0475405104523152,"funFEM"
0.52753108348135,"MAGMAclust"
1,"kmeans + Bsplines"
0.939695951237631,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.55699972345721,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.874052131465585,"kmeans + Bsplines"
0.934636066662319,"funHDDC"
0.874052131465585,"funFEM"
0.871916836879704,"MAGMAclust"
0.936730973720188,"kmeans + Bsplines"
0.937136819862652,"funHDDC"
0.578903338656932,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.491838016010046,"funHDDC"
1,"funFEM"
1,"MAGMAclust"
0.877666447772576,"kmeans + Bsplines"
0.461067478178472,"funHDDC"
0.821837617714431,"funFEM"
1,"MAGMAclust"
0.767546183355016,"kmeans + Bsplines"
0.72485347979863,"funHDDC"
0.0916977878184287,"funFEM"
0.773055552626862,"MAGMAclust"
1,"kmeans + Bsplines"
1,"funHDDC"
0.491446378796293,"funFEM"
1,"MAGMAclust"
1,"kmeans + Bsplines"
0.407936099776112,"funHDDC"
0.891212323941577,"funFEM"
1,"MAGMAclust"
0.935328215903451,"kmeans + Bsplines"
0.107911483213207,"funHDDC"
0.0133374510220232,"funFEM"
0.935328215903451,"MAGMAclust"
0.380439329476702,"kmeans + Bsplines"
0.840830920096599,"funHDDC"
0.0189560235136543,"funFEM"
0.948423224285293,"MAGMAclust"
0.888352847534041,"kmeans + Bsplines"
0.483295371360617,"funHDDC"
0.942426093904216,"funFEM"
0.942426093904216,"MAGMAclust"
